"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","STINT","TOT","PC_PA","M","2005-01",4.87316,
"GBR","STINT","TOT","PC_PA","M","2005-02",4.89069,
"GBR","STINT","TOT","PC_PA","M","2005-03",4.98736,
"GBR","STINT","TOT","PC_PA","M","2005-04",4.94336,
"GBR","STINT","TOT","PC_PA","M","2005-05",4.89375,
"GBR","STINT","TOT","PC_PA","M","2005-06",4.84144,
"GBR","STINT","TOT","PC_PA","M","2005-07",4.65794,
"GBR","STINT","TOT","PC_PA","M","2005-08",4.59465,
"GBR","STINT","TOT","PC_PA","M","2005-09",4.59686,
"GBR","STINT","TOT","PC_PA","M","2005-10",4.58701,
"GBR","STINT","TOT","PC_PA","M","2005-11",4.61847,
"GBR","STINT","TOT","PC_PA","M","2005-12",4.63732,
"GBR","STINT","TOT","PC_PA","M","2006-01",4.60368,
"GBR","STINT","TOT","PC_PA","M","2006-02",4.58199,
"GBR","STINT","TOT","PC_PA","M","2006-03",4.58741,
"GBR","STINT","TOT","PC_PA","M","2006-04",4.6296,
"GBR","STINT","TOT","PC_PA","M","2006-05",4.7015,
"GBR","STINT","TOT","PC_PA","M","2006-06",4.73498,
"GBR","STINT","TOT","PC_PA","M","2006-07",4.73322,
"GBR","STINT","TOT","PC_PA","M","2006-08",4.94425,
"GBR","STINT","TOT","PC_PA","M","2006-09",5.02501,
"GBR","STINT","TOT","PC_PA","M","2006-10",5.13176,
"GBR","STINT","TOT","PC_PA","M","2006-11",5.22544,
"GBR","STINT","TOT","PC_PA","M","2006-12",5.29167,
"GBR","STINT","TOT","PC_PA","M","2007-01",5.48623,
"GBR","STINT","TOT","PC_PA","M","2007-02",5.5657,
"GBR","STINT","TOT","PC_PA","M","2007-03",5.54946,
"GBR","STINT","TOT","PC_PA","M","2007-04",5.64899,
"GBR","STINT","TOT","PC_PA","M","2007-05",5.76742,
"GBR","STINT","TOT","PC_PA","M","2007-06",5.88018,
"GBR","STINT","TOT","PC_PA","M","2007-07",6.02396,
"GBR","STINT","TOT","PC_PA","M","2007-08",6.41946,
"GBR","STINT","TOT","PC_PA","M","2007-09",6.64694,
"GBR","STINT","TOT","PC_PA","M","2007-10",6.27014,
"GBR","STINT","TOT","PC_PA","M","2007-11",6.40858,
"GBR","STINT","TOT","PC_PA","M","2007-12",6.35943,
"GBR","STINT","TOT","PC_PA","M","2008-01",5.65965,
"GBR","STINT","TOT","PC_PA","M","2008-02",5.64202,
"GBR","STINT","TOT","PC_PA","M","2008-03",5.89929,
"GBR","STINT","TOT","PC_PA","M","2008-04",5.91881,
"GBR","STINT","TOT","PC_PA","M","2008-05",5.82639,
"GBR","STINT","TOT","PC_PA","M","2008-06",5.92944,
"GBR","STINT","TOT","PC_PA","M","2008-07",5.8322,
"GBR","STINT","TOT","PC_PA","M","2008-08",5.76619,
"GBR","STINT","TOT","PC_PA","M","2008-09",5.9106,
"GBR","STINT","TOT","PC_PA","M","2008-10",6.13304,
"GBR","STINT","TOT","PC_PA","M","2008-11",4.44684,
"GBR","STINT","TOT","PC_PA","M","2008-12",3.17247,
"GBR","STINT","TOT","PC_PA","M","2009-01",2.34276,
"GBR","STINT","TOT","PC_PA","M","2009-02",2.09038,
"GBR","STINT","TOT","PC_PA","M","2009-03",1.83139,
